ProductID,Product,Category,Sub_category,ProductBrand,Price  ,Market_price,Type,Rating
197,Kale,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,10,12.5,Organic Vegetables,
198,"Notebook - Unruled, Long",Cleaning & Household,Stationery,Classmate,33,33,"Notebooks, Files, Folders",4.3
199,Instant Noodles - Soy & Vinegar,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,67.5,75,Imported Noodles,3.6
200,Gluten-Free Quinoa Flour,Gourmet & World Food,Cooking & Baking Needs,Graminway,378,378,Flours & Pre-Mixes,3.7
201,"Chikki, Peanut Bar",Snacks & Branded Foods,Indian Mithai,Paper Boat,40,40,Chikki & Gajjak,4.1
202,1001 Nights Concentrated Oriental Perfume Free From Alcohol For Unisex,Beauty & Hygiene,Fragrances & Deos,Ajmal,4900,5000,Attar,
203,Man - Indigo Body Mist,Beauty & Hygiene,Fragrances & Deos,Nike,278.4,348,Body Sprays & Mists,
204,Fields Of Gold Organic Cumin - Whole,"Foodgrains, Oil & Masala",Organic Staples,PRISTINE,52,52,Organic Masalas & Spices,4.4
205,Body Massage Oil - Energising,Beauty & Hygiene,Skin Care,Aloe Veda,697.5,775,Aromatherapy,
206,Synthetic Food Colour Preparation Lemon Yellow,Snacks & Branded Foods,Ready To Cook & Eat,999,20,20,Home Baking,4
207,"Toothpaste - Gum Care, Expert Protection",Beauty & Hygiene,Oral Care,Pepsodent,78.4,98,Toothpaste,4.3
208,Bio Myristica Spot Correcting Anti Acne Face Pack,Beauty & Hygiene,Skin Care,BIOTIQUE,149.25,199,Face Care,3.9
209,"Stainless Steel Frying Ladle - No. 9, Silvera","Kitchen, Garden & Pets",Kitchen Accessories,Anjali,65,82,"Strainer, Ladle, Spatula",3.7
210,OvenOrg Multi Millet Rusk,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",PRISTINE,35,35,Rusks,1.8
211,Mahabhringraj Tel - Hairfall Reduction & Dandruff Control,Beauty & Hygiene,Health & Medicine,Baidyanath,295,295,Ayurveda,
212,Masterchefs Germ Protection Liquid Handwash Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,147,147,Hand Wash & Sanitizers,4.2
213,Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,Beauty & Hygiene,Hair Care,Garnier,108.78,117,Hair Color,4.2
214,Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey,Gourmet & World Food,Oils & Vinegar,Zoe,449.1,499,Balsamic & Cider Vinegar,5
215,"Brinjal - Varikatri, Organically Grown",Fruits & Vegetables,Fresh Vegetables,Fresho,10,12.5,Organic Vegetables,
216,Wonderz Milk Shakes - Classic Vanilla,"Bakery, Cakes & Dairy",Dairy,Sunfeast,29.75,35,"Flavoured, Soya Milk",4.5
217,Marie Light Biscuits - Oats Fibre,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,25,25,"Marie, Health, Digestive",4.3
218,Masala - Chicken,"Foodgrains, Oil & Masala",Masalas & Spices,Annapoorna,28,28,Blended Masalas,4.8
219,Dark Chocolate- 55% Rich In Cocoa,Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,100,Chocolates,4.3
220,Gentle Baby Wipes,Baby Care,Diapers & Wipes,Himalaya,699,699,Baby Wipes,4.1
221,Avocado,Fruits & Vegetables,Fresh Fruits,Fresho,105,131.25,Exotic Fruits,
